threshold,total_channels,pruned_channels,pruning_percentage,accuracy_before,accuracy_after,accuracy_drop,inference_time_before,inference_time_after,speedup,efficiency_score
3100,96,91,94.79,68.00,18.00,50.00,8.869000,0.467000,18.99,0.38
3200,96,91,94.79,68.00,18.00,50.00,8.869000,0.466000,19.03,0.38
3300,96,91,94.79,68.00,18.00,50.00,8.869000,0.461000,19.24,0.38
3400,96,91,94.79,68.00,18.00,50.00,8.869000,0.505000,17.56,0.35
3500,96,91,94.79,68.00,18.00,50.00,8.869000,0.465000,19.07,0.38
3600,96,91,94.79,68.00,18.00,50.00,8.869000,0.466000,19.03,0.38
3700,96,91,94.79,68.00,18.00,50.00,8.869000,0.464000,19.11,0.38
3800,96,91,94.79,68.00,18.00,50.00,8.869000,0.491000,18.06,0.36
3900,96,91,94.79,68.00,18.00,50.00,8.869000,0.485000,18.29,0.37
4000,96,92,95.83,68.00,14.00,54.00,8.869000,0.365000,24.30,0.45
